created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-05-27 23:27:24 UTC,259,327,102,18,1,0,0,1065,,,,
2019-05-27 23:27:39 UTC,260,330,105,17,0,0,0,1031,,,,
2019-05-27 23:27:55 UTC,261,369,112,19,1,0,0,592,,,,
2019-05-27 23:28:10 UTC,262,360,113,21,1,0,0,1067,,,,
2019-05-27 23:28:26 UTC,263,393,127,18,1,0,0,1081,,,,
2019-05-27 23:28:42 UTC,264,396,119,31,2,0,0,1045,,,,
2019-05-27 23:28:57 UTC,265,426,131,25,0,0,0,1086,,,,
2019-05-27 23:29:13 UTC,266,420,124,18,0,0,0,1087,,,,
2019-05-27 23:29:28 UTC,267,435,125,14,1,0,0,1085,,,,
2019-05-27 23:29:44 UTC,268,507,145,16,1,0,0,1099,,,,
2019-05-27 23:29:59 UTC,269,408,123,24,2,0,0,1087,,,,
2019-05-27 23:30:15 UTC,270,492,148,15,2,1,0,579,,,,
2019-05-27 23:30:31 UTC,271,435,129,12,1,0,0,994,,,,
2019-05-27 23:30:46 UTC,272,384,120,12,0,0,0,1062,,,,
2019-05-27 23:31:02 UTC,273,312,97,12,1,1,1,990,,,,
2019-05-27 23:31:20 UTC,274,375,117,17,1,1,1,1032,,,,
2019-05-27 23:31:38 UTC,275,330,100,21,0,0,0,1036,,,,
2019-05-27 23:31:53 UTC,276,369,113,26,1,0,0,873,,,,
2019-05-27 23:32:09 UTC,277,387,123,66,19712,7168,512,1093,,,,
2019-05-27 23:32:24 UTC,278,402,117,14,0,0,0,1097,,,,
2019-05-27 23:32:40 UTC,279,256,512,512,256,512,513,1120,,,,
2019-05-27 23:32:56 UTC,280,459,141,19,2,0,0,544,,,,
2019-05-27 23:33:11 UTC,281,489,147,8,1,0,0,1101,,,,
2019-05-27 23:33:30 UTC,282,468,144,12,1,0,0,834,,,,
2019-05-27 23:33:45 UTC,283,489,147,15,2,0,0,1090,,,,
2019-05-27 23:34:00 UTC,284,387,124,17,3,0,0,1111,,,,
2019-05-27 23:34:16 UTC,285,426,142,21,1,0,0,556,,,,
2019-05-27 23:34:31 UTC,286,417,129,27,1,0,0,551,,,,
2019-05-27 23:34:47 UTC,287,483,145,24,2,0,0,1104,,,,
2019-05-27 23:35:03 UTC,288,486,154,14,0,0,0,1146,,,,
2019-05-27 23:35:18 UTC,289,369,117,18,0,0,0,846,,,,
2019-05-27 23:35:34 UTC,290,321,103,15,0,0,0,1162,,,,
2019-05-27 23:35:49 UTC,291,312,102,18,0,0,0,1086,,,,
2019-05-27 23:36:05 UTC,292,360,112,21,1,0,0,1085,,,,
2019-05-27 23:36:20 UTC,293,486,150,19,2,1,0,1087,,,,
2019-05-27 23:36:36 UTC,294,426,136,18,2,0,0,1060,,,,
2019-05-27 23:36:52 UTC,295,441,135,15,6,0,0,571,,,,
2019-05-27 23:37:07 UTC,296,360,113,20,6,1,0,1099,,,,
2019-05-27 23:37:23 UTC,297,366,113,23,2,1,0,1100,,,,
2019-05-27 23:37:38 UTC,298,390,125,29,2,1,0,1028,,,,
2019-05-27 23:37:54 UTC,299,348,110,17,1,1,0,1109,,,,
2019-05-27 23:38:12 UTC,300,432,132,19,0,0,66,1089,,,,
2019-05-27 23:38:30 UTC,301,393,121,18,1,0,0,1096,,,,
2019-05-27 23:38:46 UTC,302,396,115,7,0,0,0,1272,,,,
2019-05-27 23:39:01 UTC,303,381,118,11,0,0,0,1138,,,,
2019-05-27 23:39:16 UTC,304,393,123,15,1,0,0,1021,,,,
2019-05-27 23:39:32 UTC,305,378,118,6,1,0,0,1058,,,,
2019-05-27 23:39:50 UTC,306,330,101,24,0,0,0,904,,,,
2019-05-27 23:40:06 UTC,307,336,104,21,1,1,0,1065,,,,
2019-05-27 23:40:21 UTC,308,348,108,22,2,1,0,1103,,,,
2019-05-27 23:40:37 UTC,309,342,104,21,1,0,0,1054,,,,
2019-05-27 23:40:53 UTC,310,354,104,10,0,0,0,1109,,,,
2019-05-27 23:41:08 UTC,311,432,128,17,2,0,0,1096,,,,
2019-05-27 23:41:24 UTC,312,561,179,27,6,2,0,1100,,,,
2019-05-27 23:41:39 UTC,313,489,157,34,3,1,0,1126,,,,
2019-05-27 23:41:55 UTC,314,444,135,18,0,0,0,577,,,,
2019-05-27 23:42:10 UTC,315,438,134,13,0,0,0,551,,,,
2019-05-27 23:42:26 UTC,316,450,136,10,0,0,66,1141,,,,
2019-05-27 23:42:41 UTC,317,512,768,768,512,768,769,1087,,,,
2019-05-27 23:42:57 UTC,318,360,116,10,2,0,0,547,,,,
2019-05-27 23:43:13 UTC,319,512,513,38912,32256,1536,256,1119,,,,
2019-05-27 23:43:31 UTC,320,456,148,12,2,1,0,1112,,,,
2019-05-27 23:43:46 UTC,321,1025,45824,36352,5376,768,256,1106,,,,
2019-05-27 23:44:02 UTC,322,477,148,21,1,0,0,1117,,,,
2019-05-27 23:44:18 UTC,323,444,129,20,2,0,0,1105,,,,
2019-05-27 23:44:33 UTC,324,315,90,9,0,0,0,569,,,,
2019-05-27 23:44:48 UTC,325,357,111,20,0,0,0,1105,,,,
2019-05-27 23:45:07 UTC,326,396,122,29,1,0,0,750,,,,
2019-05-27 23:45:27 UTC,327,468,152,25,1,0,0,1105,,,,
2019-05-27 23:45:43 UTC,328,450,136,20,2,0,0,1103,,,,
2019-05-27 23:45:58 UTC,329,1025,48128,33792,7424,1024,256,1112,,,,
2019-05-27 23:46:14 UTC,330,375,111,16,1,0,0,1108,,,,
2019-05-27 23:46:30 UTC,331,381,113,13,1,0,0,547,,,,
2019-05-27 23:46:45 UTC,332,438,137,9,0,0,0,1123,,,,
2019-05-27 23:47:01 UTC,333,429,137,19,1,0,0,1085,,,,
2019-05-27 23:47:16 UTC,334,390,119,17,3,0,0,1035,,,,
2019-05-27 23:47:34 UTC,335,477,146,20,4,1,0,1092,,,,
2019-05-27 23:47:50 UTC,336,390,127,21,1,1,0,1099,,,,
2019-05-27 23:48:08 UTC,337,447,139,17,2,0,0,1083,,,,
2019-05-27 23:48:23 UTC,338,360,114,8,1,0,0,556,,,,
2019-05-27 23:48:39 UTC,339,345,102,8,1,0,0,1804,,,,
2019-05-27 23:49:26 UTC,340,420,127,26,2,0,0,1117,,,,
2019-05-27 23:49:41 UTC,341,342,105,8,1,0,0,1128,,,,
2019-05-27 23:49:57 UTC,342,336,109,4,0,0,0,944,,,,
2019-05-27 23:50:12 UTC,343,324,95,14,1,0,0,1091,,,,
2019-05-27 23:50:28 UTC,344,339,102,18,1,0,0,1101,,,,
2019-05-27 23:50:43 UTC,345,417,133,10,0,0,0,1128,,,,
2019-05-27 23:50:59 UTC,346,393,126,10,0,0,0,1098,,,,
2019-05-27 23:51:14 UTC,347,414,129,14,1,1,0,1090,,,,
2019-05-27 23:51:30 UTC,348,369,105,14,1,1,0,1066,,,,
2019-05-27 23:51:46 UTC,349,357,110,19,1,0,0,1099,,,,
2019-05-27 23:52:01 UTC,350,411,131,22,1,0,0,1096,,,,
2019-05-27 23:52:17 UTC,351,381,113,9,1,0,0,1107,,,,
2019-05-27 23:52:32 UTC,352,324,104,11,0,0,0,1116,,,,
2019-05-27 23:52:48 UTC,353,360,117,12,0,0,0,1046,,,,
2019-05-27 23:53:06 UTC,354,372,115,19,1,0,0,732,,,,
2019-05-27 23:53:21 UTC,355,390,123,14,0,0,0,1097,,,,
2019-05-27 23:53:37 UTC,356,512,512,256,512,513,33536,1096,,,,
2019-05-27 23:53:53 UTC,357,321,92,12,0,0,0,1125,,,,
2019-05-27 23:54:08 UTC,358,366,116,19,2,0,0,1111,,,,
2019-05-27 23:54:24 UTC,359,321,99,24,1,0,0,1078,,,,
2019-05-27 23:54:39 UTC,360,384,123,16,0,0,0,1118,,,,
2019-05-27 23:54:55 UTC,361,534,165,7,0,0,0,1097,,,,
2019-05-27 23:55:10 UTC,362,501,148,11,0,0,0,1074,,,,
